Driven machine,Drive machine,,,,,
,Group 1,,,Group 2,,
,3-5 hours/day,8-10 hours/day,16-24 hours/day,3-5 hours/day,8-10 hours/day,16-24 hours/day
Group 1,1,"1,1","1,2","1,1","1,2","1,3"
Group 2,"1,1","1,2","1,3","1,2","1,3","1,4"
Group 3,"1,2","1,3","1,4","1,4","1,5","1,5"
Group 4,"1,3","1,4","1,5","1,6","1,6","1,8"
,,,,,,
Drive machine,,,,,,
Group 1,Group 2,,,,,
Normal torque ac motor,High torque ac motor,,,,,
Ring cage ac motor,High slip ac motor,,,,,
Synchronous ac motor,Repulsion induction ac motor,,,,,
Phase division ac motor,Monophasic ac motor,,,,,
Derivation winding dc motor,Series winding ac motor,,,,,
Multiple cyilinder internal combustion engine,Collector rings ac motor,,,,,
,,,,,,
Driven machine,,,,,,
Group 1,Group 2,Group 3,Group 4,,,
Stirrer,Heavy conveyor belt,Pottery machines,Crusher,,,
Small blower <= 10 hp,Large blower > 10hp,Bucket elevator,Crane,,,
Exhaustor,Generator,Reciprocating compressor,Tire shop machines,,,
Centrifugal pump,Transmission axle,Mill,,,,
Regular compressor,Laundry machines,Carpentry machine,,,,
Light conveyor belt,Press,Textile machine,,,,
,Graphical machines,,,,,
,Positive displacement pump,,,,,
,Sieving machine,,,,,
