"diameter","rpm","power_b"
180,100,1.18
180,200,2.1
180,300,2.92
180,400,3.66
180,500,4.35
180,575,4.83
180,600,4.99
180,690,5.53
180,700,5.59
180,725,5.73
180,800,6.15
180,870,6.52
180,900,6.67
180,950,6.92
180,1000,7.16
180,1100,7.61
180,1160,7.86
180,1200,8.02
180,1300,8.39
180,1400,8.73
180,1425,8.81
180,1500,9.03
180,1600,9.29
180,1700,9.51
180,1750,9.6
180,1800,9.69
180,1900,9.82
180,2000,9.92
180,2100,9.97
180,2200,9.97
180,2300,9.92
180,2400,9.83
180,2500,9.68
180,2600,9.49
180,2700,9.24
180,2800,8.94
180,2900,8.58
180,3000,8.16
180,3100,7.68
180,3200,7.14
180,3300,6.55
190,100,1.31
190,200,2.35
190,300,3.27
190,400,4.12
190,500,4.91
190,575,5.47
190,600,5.65
190,690,6.27
190,700,6.34
190,725,6.51
190,800,6.99
190,870,7.42
190,900,7.6
190,950,7.88
190,1000,8.16
190,1100,8.69
190,1160,8.98
190,1200,9.17
190,1300,9.62
190,1400,10
190,1425,10.1
190,1500,10.4
190,1600,10.7
190,1700,11
190,1750,11.1
190,1800,11.2
190,1900,11.3
190,2000,11.5
190,2100,11.5
190,2200,11.6
190,2300,11.5
190,2400,11.4
190,2500,11.3
190,2600,11.1
190,2700,10.8
190,2800,10.5
190,2900,10.1
190,3000,9.58
190,3100,9.05
200,100,1.44
200,200,2.59
200,300,3.62
200,400,4.57
200,500,5.46
200,575,6.09
200,600,6.3
200,690,7
200,700,7.08
200,725,7.27
200,800,7.82
200,870,8.31
200,900,8.51
200,950,8.84
200,1000,9.16
200,1100,9.76
200,1160,10.1
200,1200,10.3
200,1300,10.8
200,1400,11.3
200,1425,11.4
200,1500,11.7
200,1600,12.1
200,1700,12.4
200,1750,12.5
200,1800,12.6
200,1900,12.8
200,2000,13
200,2100,13.1
200,2200,13.1
200,2300,13
200,2400,12.9
200,2500,12.8
200,2600,12.5
200,2700,12.2
200,2800,11.8
200,2900,11.4
210,100,1.57
210,200,2.83
210,300,3.97
210,400,5.03
210,500,6.01
210,575,6.72
210,600,6.94
210,690,7.73
210,700,7.82
210,725,8.09
210,800,8.64
210,870,9.19
210,900,9.41
210,950,9.78
210,1000,10.1
210,1100,10.8
210,1160,11.2
210,1200,11.4
210,1300,12
210,1400,12.5
210,1425,12.6
210,1500,13
210,1600,13.4
210,1700,13.7
210,1750,13.9
210,1800,14
210,1900,14.2
210,2000,14.4
210,2100,14.5
210,2200,14.5
210,2300,14.5
210,2400,14.3
210,2500,14.1
210,2600,13.9
210,2700,13.5
210,2800,13.1
220,100,1.7
220,200,3.07
220,300,4.32
220,400,5.48
220,500,6.56
220,575,7.33
220,600,7.58
220,690,8.45
220,700,8.55
220,725,8.78
220,800,9.46
220,870,10.1
220,900,10.3
220,950,10.7
220,1000,11.1
220,1100,11.9
220,1160,12.3
220,1200,12.5
220,1300,13.2
220,1400,13.7
220,1425,13.9
220,1500,14.2
220,1600,14.7
220,1700,15.1
220,1750,15.2
220,1800,15.4
220,1900,15.6
220,2000,15.8
220,2100,15.9
220,2200,15.8
220,2300,15.8
220,2400,15.7
220,2500,15.4
220,2600,15.1
220,2700,14.7
230,100,1.83
230,200,3.31
230,300,4.67
230,400,5.92
230,500,7.11
230,575,7.95
230,600,8.22
230,690,9.17
230,700,9.27
230,725,9.53
230,800,10.3
230,870,10.9
230,900,11.2
230,950,11.6
230,1000,12.1
230,1100,12.9
230,1160,13.3
230,1200,13.6
230,1300,14.3
230,1400,14.9
230,1425,15.1
230,1500,15.5
230,1600,16
230,1700,16.4
230,1750,16.5
230,1800,16.7
230,1900,16.9
