"gr_low","gr_high","rpm","power_a"
1,1.02,50,0
1,1.02,100,0
1,1.02,150,0
1,1.02,200,0
1,1.02,250,0
1,1.02,300,0
1,1.02,350,0
1,1.02,400,0
1,1.02,435,0
1,1.02,450,0
1,1.02,485,0
1,1.02,500,0
1,1.02,550,0
1,1.02,575,0
1,1.02,600,0
1,1.02,650,0
1,1.02,690,0
1,1.02,700,0
1,1.02,725,0
1,1.02,750,0
1,1.02,800,0
1,1.02,850,0
1,1.02,870,0
1,1.02,900,0
1,1.02,950,0
1,1.02,950,0
1,1.02,1000,0
1,1.02,1050,0
1,1.02,1100,0
1,1.02,1150,0
1,1.02,1160,0
1,1.02,1200,0
1,1.02,1250,0
1,1.02,1300,0
1,1.02,1350,0
1,1.02,1400,0
1,1.02,1450,0
1,1.02,1500,0
1,1.02,1550,0
1,1.02,1600,0
1,1.02,1650,0
1,1.02,1700,0
1,1.02,1750,0
1,1.02,1800,0
1,1.02,1850,0
1,1.02,1900,0
1,1.02,1950,0
1.02,1.04,50,0.02
1.02,1.04,100,0.04
1.02,1.04,150,0.06
1.02,1.04,200,0.08
1.02,1.04,250,0.1
1.02,1.04,300,0.12
1.02,1.04,350,0.14
1.02,1.04,400,0.16
1.02,1.04,435,0.17
1.02,1.04,450,0.18
1.02,1.04,485,0.19
1.02,1.04,500,0.2
1.02,1.04,550,0.21
1.02,1.04,575,0.22
1.02,1.04,600,0.23
1.02,1.04,650,0.25
1.02,1.04,690,0.27
1.02,1.04,700,0.27
1.02,1.04,725,0.28
1.02,1.04,750,0.29
1.02,1.04,800,0.31
1.02,1.04,850,0.33
1.02,1.04,870,0.34
1.02,1.04,900,0.35
1.02,1.04,950,0.37
1.02,1.04,950,0.37
1.02,1.04,1000,0.39
1.02,1.04,1050,0.41
1.02,1.04,1100,0.43
1.02,1.04,1150,0.45
1.02,1.04,1160,0.45
1.02,1.04,1200,0.47
1.02,1.04,1250,0.49
1.02,1.04,1300,0.51
1.02,1.04,1350,0.53
1.02,1.04,1400,0.55
1.02,1.04,1450,0.57
1.02,1.04,1500,0.59
1.02,1.04,1550,0.6
1.02,1.04,1600,0.62
1.02,1.04,1650,0.64
1.02,1.04,1700,0.66
1.02,1.04,1750,0.68
1.02,1.04,1800,0.7
1.02,1.04,1850,0.72
1.02,1.04,1900,0.74
1.02,1.04,1950,0.76
1.04,1.06,50,0.04
1.04,1.06,100,0.08
1.04,1.06,150,0.12
1.04,1.06,200,0.16
1.04,1.06,250,0.19
1.04,1.06,300,0.23
1.04,1.06,350,0.27
1.04,1.06,400,0.31
1.04,1.06,435,0.34
1.04,1.06,450,0.35
1.04,1.06,485,0.38
1.04,1.06,500,0.39
1.04,1.06,550,0.43
1.04,1.06,575,0.45
1.04,1.06,600,0.47
1.04,1.06,650,0.51
1.04,1.06,690,0.54
1.04,1.06,700,0.54
1.04,1.06,725,0.56
1.04,1.06,750,0.58
1.04,1.06,800,0.62
1.04,1.06,850,0.66
1.04,1.06,870,0.68
1.04,1.06,900,0.7
1.04,1.06,950,0.74
1.04,1.06,950,0.74
1.04,1.06,1000,0.78
1.04,1.06,1050,0.82
1.04,1.06,1100,0.86
1.04,1.06,1150,0.89
1.04,1.06,1160,0.9
1.04,1.06,1200,0.93
1.04,1.06,1250,0.97
1.04,1.06,1300,1.01
1.04,1.06,1350,1.05
1.04,1.06,1400,1.09
1.04,1.06,1450,1.13
1.04,1.06,1500,1.17
1.04,1.06,1550,1.2
1.04,1.06,1600,1.24
1.04,1.06,1650,1.28
