"diameter","rpm","power_b"
300,50,2.11
300,100,3.81
300,150,5.34
300,200,6.76
300,250,0.81
300,300,9.36
300,350,10.6
300,400,11.7
300,435,12.5
300,450,12.8
300,485,13.5
300,500,13.9
300,550,14.8
300,575,15.3
300,600,15.8
300,650,16.7
300,690,17.4
300,700,17.5
300,725,17.9
300,750,18.3
300,800,19.1
300,850,19.8
300,870,20
300,900,20.4
300,950,21
300,950,21
300,1000,21.6
300,1050,22
300,1100,22.5
300,1150,22.8
300,1160,22.9
300,1200,23.2
300,1250,23.4
300,1300,23.6
300,1350,23.7
300,1400,23.8
300,1450,23.8
300,1500,23.8
300,1550,23.6
300,1600,23.4
300,1650,23.1
300,1700,22.8
300,1750,22.4
300,1800,21.9
300,1850,21.3
300,1900,20.6
300,1950,19.9
320,50,2.37
320,100,4.3
320,150,6.05
320,200,7.69
320,250,9.23
320,300,10.7
320,350,12.1
320,400,13.4
320,435,14.3
320,450,14.7
320,485,15.6
320,500,15.9
320,550,17.1
320,575,17.7
320,600,18.2
320,650,19.3
320,690,20.1
320,700,20.3
320,725,20.7
320,750,21.2
320,800,22.1
320,850,22.9
320,870,23.2
320,900,23.7
320,950,24.4
320,950,24.4
320,1000,25.5
320,1050,25.6
320,1100,26.1
320,1150,26.6
320,1160,26.6
320,1200,26.9
320,1250,27.2
320,1300,27.5
320,1350,27.6
320,1400,27.7
320,1450,27.7
320,1500,27.6
320,1550,27.5
320,1600,27.3
320,1650,26.9
320,1700,26.5
320,1750,26
320,1800,25.4
320,1850,24.7
340,50,2.63
340,100,4.79
340,150,6.76
340,200,8.61
340,250,10.4
340,300,12
340,350,1.36
340,400,15.1
340,435,16.2
340,450,16.6
340,485,17.6
340,500,18
340,550,19.3
340,575,20
340,600,20.6
340,650,21.8
340,690,22.7
340,700,22.9
340,725,23.5
340,750,24
340,800,25
340,850,26
340,870,26.3
340,900,26.8
340,950,27.6
340,950,27.6
340,1000,28.4
340,1050,29
340,1100,29.6
340,1150,30.1
340,1160,30.2
340,1200,30.5
340,1250,30.9
340,1300,31.1
340,1350,31.3
340,1400,31.4
340,1450,31.4
340,1500,31.3
340,1550,31
340,1600,31.7
340,1650,30.3
340,1700,29.8
340,1750,29.2
350,50,2.76
350,100,5.04
350,150,7.12
350,200,9.07
350,250,10.9
350,300,12.7
350,350,14.4
350,400,16
350,435,17.1
350,450,17.5
350,485,18.6
350,500,19
350,550,20.4
350,575,21.1
350,600,21.8
350,650,23
350,690,24
350,700,24.3
350,725,24.8
350,750,25.4
350,800,26.5
350,850,27.5
350,870,27.8
350,900,28.4
350,950,29.2
350,950,29.2
350,1000,30
350,1050,30.7
350,1100,31.3
350,1150,31.8
350,1160,31.9
350,1200,32.3
350,1250,32.6
350,1300,32.9
350,1350,33.1
350,1400,33.1
350,1450,33.1
350,1500,32.9
350,1550,32.7
350,1600,32.4
350,1650,31.9
350,1700,31.3
360,50,2.89
360,100,5.28
360,150,7.47
360,200,9.53
360,250,11.5
360,300,13.3
360,350,15.1
360,400,16.8
360,435,18
360,450,18.5
360,485,19.6
360,500,20
360,550,21.5
360,575,22.2
360,600,22.9
360,650,24.3
360,690,25.3
360,700,25.6
360,725,26.2
360,750,26.8
360,800,27.9
360,850,29
360,870,29.4
360,900,29.9
360,950,30.8
360,950,30.8
360,1000,31.6
360,1050,32.4
360,1100,33
360,1150,33.5
360,1160,33.6
360,1200,34
360,1250,34.3
360,1300,34.6
360,1350,34.7
360,1400,34.8
360,1450,34.7
360,1500,34.6
360,1550,34.3
360,1600,33.9
360,1650,33.3
380,50,3.15
380,100,5.77
380,150,8.17
380,200,10.4
380,250,12.6
380,300,14.7
380,350,16.6
380,400,18.5
380,435,19.8
380,450,20.3
380,485,21.5
380,500,22
380,550,23.7
380,575,24.5
380,600,25.3
380,650,26.7
380,690,27.9
380,700,28.2
380,725,28.8
380,750,29.5
380,800,30.7
380,850,31.9
380,870,32.3
380,900,32.9
380,950,33.9
380,950,33.9
380,1000,34.8
380,1050,35.6
380,1100,36.2
380,1150,36.8
380,1160,36.9
380,1200,37.3
380,1250,37.6
380,1300,37.8
380,1350,38
380,1400,37.9
380,1450,37.8
380,1500,37.5
380,1550,37.1
400,50,3.41
400,100,6.25
400,150,8.88
400,200,11.3
400,250,13.7
400,300,16
400,350,18.1
400,400,20.2
400,435,21.6
400,450,22.1
400,485,23.5
400,500,24
400,550,25.8
400,575,26.7
400,600,27.5
400,650,29.2
400,690,30.4
400,700,30.7
400,725,31.4
400,750,32.1
400,800,33.5
400,850,34.7
400,870,35.2
400,900,35.9
400,950,36.9
400,950,36.9
400,1000,37.8
400,1050,38.6
400,1100,39.3
400,1150,39.9
400,1160,40
400,1200,40.4
400,1250,40.7
400,1300,40.9
400,1350,40.9
400,1400,40.8
400,1450,40.6
400,1500,40.2
420,50,3.66
420,100,6.73
420,150,9.57
420,200,12.3
420,250,14.8
420,300,17.2
420,350,19.6
420,400,21.8
420,435,23.3
420,450,24
420,485,25.4
420,500,26
420,550,28
420,575,28.9
420,600,29.8
420,650,31.6
420,690,32.9
420,700,33.2
420,725,34
420,750,34.7
420,800,36.2
420,850,37.5
420,870,38
420,900,38.7
420,950,39.8
420,950,39.8
420,1000,40.8
420,1050,41.6
420,1100,42.3
420,1150,42.8
420,1160,42.9
420,1200,43.3
420,1250,43.5
420,1300,43.6
420,1350,43.6
420,1400,43.4
440,50,3.92
440,100,7.21
440,150,10.3
440,200,12.2
440,250,15.9
440,300,18.5
440,350,21
440,400,23.4
440,435,25.1
440,450,25.8
440,485,27.3
440,500,28
440,550,30
440,575,31
440,600,32
440,650,33.9
440,690,35.3
440,700,35.7
440,725,36.5
440,750,37.3
440,800,38.8
440,850,40.2
440,870,40.7
440,900,41.5
440,950,42.6
440,950,42.6
440,1000,43.6
440,1050,44.4
440,1100,45.1
440,1150,45.6
440,1160,45.7
440,1200,46
440,1250,46.2
440,1300,46.2
440,1350,46
450,50,4.04
450,100,7.45
450,150,10.6
450,200,13.6
450,250,16.4
450,300,19.2
450,350,21.8
450,400,24.3
450,435,25.9
450,450,26.6
450,485,28.2
450,500,28.9
450,550,31.1
450,575,32.1
450,600,33.1
450,650,35.1
450,690,36.5
450,700,36.9
450,725,37.7
450,750,38.5
450,800,40.1
450,850,41.5
450,870,42.1
450,900,42.8
450,950,43.9
450,950,43.9
450,1000,44.9
450,1050,45.8
450,1100,46.4
450,1150,46.9
450,1160,47
450,1200,47.3
450,1250,47.4
450,1300,47.4
450,1350,47.2
460,50,4.17
460,100,7.69
460,150,11
460,200,14
460,250,17
460,300,19.8
460,350,22.5
460,400,25.1
460,435,26.8
460,450,27.5
460,485,29.2
460,500,29.9
460,550,32.1
460,575,33.2
460,600,34.2
460,650,36.2
460,690,37.7
460,700,38.1
460,725,38.9
460,750,39.8
460,800,41.4
460,850,42.8
460,870,43.4
460,900,44.1
460,950,45.3
460,950,45.3
460,1000,46.3
460,1050,47.1
460,1100,47.7
460,1150,48.2
460,1160,48.3
460,1200,48.5
460,1250,48.6
460,1300,48.5
480,50,4.42
480,100,8.17
480,150,11.6
480,200,14.9
480,250,18.1
480,300,21.1
480,350,23.9
480,400,26.7
480,435,28.5
480,450,29.3
480,485,31
480,500,31.8
480,550,34.1
480,575,35.3
480,600,36.4
480,650,38.5
480,690,40
480,700,40.4
480,725,41.3
480,750,42.2
480,800,43.9
480,850,45.4
480,870,45.9
480,900,46.7
480,950,47.8
480,950,47.8
480,1000,48.8
480,1050,49.6
480,1100,50.2
480,1150,50.6
480,1160,50.7
480,1200,50.8
480,1250,50.8
500,50,4.68
500,100,8.64
500,150,12.3
500,200,15.8
500,250,19.1
500,300,22.3
500,350,25.4
500,400,28.3
500,435,30.2
500,450,31
500,485,32.9
500,500,33.7
500,550,36.2
500,575,37.3
500,600,38.5
500,650,40.7
500,690,42.3
500,700,42.7
500,725,43.7
500,750,44.6
500,800,46.3
500,850,47.8
500,870,48.4
500,900,49.2
500,950,50.3
500,950,50.3
500,1000,51.3
500,1050,52
500,1100,52.5
500,1150,52.8
500,1160,52.9
500,1200,52.9
520,50,4.93
520,100,9.12
520,150,13
520,200,16.7
520,250,20.2
520,300,23.6
520,350,26.8
520,400,29.8
520,435,31.9
520,450,32.8
520,485,34.7
520,500,35.5
520,550,38.1
520,575,39.4
520,600,40.6
520,650,42.9
520,690,44.6
520,700,45
520,725,46
520,750,46.9
520,800,48.6
520,850,50.2
520,870,50.8
520,900,51.5
520,950,52.7
520,950,52.7
520,1000,53.6
520,1050,54.2
520,1100,54.7
520,1150,54.9
520,1160,54.9
540,50,5.18
540,100,9.59
540,150,13.7
540,200,17.6
540,250,21.3
540,300,24.8
540,350,28.2
540,400,31.4
540,435,33.6
540,450,34.5
540,485,36.5
540,500,37.4
540,550,40.1
540,575,41.4
540,600,42.6
540,650,45
540,690,46.8
540,700,47.2
540,725,48.2
540,750,49.2
540,800,50.9
540,850,52.5
540,870,53
540,900,53.8
540,950,54.9
540,950,54.9
540,1000,55.7
540,1050,56.3
540,1100,56.6
560,50,5.43
560,100,10.1
560,150,14.4
560,200,18.5
560,250,22.3
560,300,26
560,350,29.6
560,400,33
560,435,35.2
560,450,36.2
560,485,38.8
560,500,39.2
560,550,42
560,575,43.4
560,600,44.6
560,650,47.1
560,690,48.9
560,700,49.3
560,725,50.4
560,750,51.3
560,800,53.1
560,850,54.7
560,870,55.2
560,900,56
560,950,57
560,950,57
560,1000,57.8
560,1050,58.2
580,50,5.67
580,100,10.5
580,150,15
580,200,19.3
580,250,23.4
580,300,27.3
580,350,31
580,400,34.5
580,435,36.8
580,450,37.8
580,485,40
580,500,41
580,550,43.9
580,575,45.3
580,600,46.6
580,650,49.1
580,690,51
580,700,51.4
580,725,52.5
580,750,53.5
580,800,55.2
580,850,56.8
580,870,57.3
580,900,58
580,950,59
580,950,59
580,1000,59.6
580,1050,60
600,50,5.92
600,100,11
600,150,15.7
600,200,20.2
600,250,24.4
600,300,28.5
600,350,32.4
600,400,36
600,435,38.5
600,450,29.5
600,485,41.8
600,500,42.7
600,550,45.8
600,575,47.2
600,600,48.6
600,650,51.1
600,690,53
600,700,53.5
600,725,56.5
600,750,55.5
600,800,57.3
600,850,58.8
600,870,59.3
600,900,60
600,950,60.8
600,950,60.8
600,1000,61.4
