"type","fcc"
"A-26","0.75"
"A-27","0.76"
"A-31","0.79"
"A-32","0.8"
"A-33","0.81"
"A-35","0.82"
"A-37","0.84"
"A-38","0.85"
"A-41","0.86"
"A-42","0.87"
"A-45","0.89"
"A-46","0.9"
"A-49","0.91"
"A-53","0.93"
"A-57","0.95"
"A-60","0.97"
"A-64","0.99"
"A-68","1"
"A-71","1.01"
"A-75","1.03"
"A-80","1.04"
"A-85","1.06"
"A-90","1.08"
"A-96","1.09"
"A-105","1.12"
"A-112","1.13"
"A-120","1.15"
"A-128","1.17"
"B-35","0.77"
"B-37","0.78"
"B-38","0.79"
"B-39","0.8"
"B-42","0.81"
"B-46","0.83"
"B-48","0.84"
"B-52","0.86"
"B-55","0.88"
"B-60","0.9"
"B-64","0.92"
"B-68","0.93"
"B-71","0.94"
"B-75","0.95"
"B-78","0.96"
"B-85","0.99"
"B-90","1"
"B-95","1.01"
"B-97","1.02"
"B-105","1.04"
"B-112","1.05"
"B-120","1.07"
"B-128","1.09"
"B-136","1.1"
"B-144","1.12"
"B-158","1.14"
"B-162","1.15"
"B-173","1.16"
"B-180","1.17"
"B-195","1.19"
"B-210","1.22"
"B-225","1.23"
"B-240","1.24"
"B-270","1.27"
"B-300","1.3"
"C-51","0.77"
"C-55","0.79"
"C-60","0.81"
"C-68","0.83"
"C-71","0.84"
"C-75","0.86"
"C-81","0.87"
"C-85","0.88"
"C-90","0.9"
"C-96","0.91"
"C-100","0.92"
"C-105","0.93"
"C-112","0.95"
"C-120","0.96"
"C-128","0.97"
"C-136","0.99"
"C-144","1"
"C-158","1.02"
"C-162","1.03"
"C-173","1.04"
"C-180","1.05"
"C-195","1.07"
"C-210","1.08"
"C-225","1.1"
"C-240","1.11"
"C-255","1.13"
"C-270","1.14"
"C-300","1.16"
"C-330","1.18"
"C-360","1.2"
"C-390","1.22"
"C-420","1.24"
"D-120","0.86"
"D-128","0.88"
"D-144","0.9"
"D-158","0.92"
"D-162","0.92"
"D-173","0.94"
"D-180","0.94"
"D-195","0.96"
"D-210","0.98"
"D-225","0.99"
"D-240","1"
"D-270","1.02"
"D-300","1.04"
"D-330","1.06"
"D-360","1.08"
"D-390","1.1"
"D-420","1.11"
"D-480","1.14"
