"profile","length","type"
"a",695,"A-26"
"a",720,"A-27"
"a",820,"A-31"
"a",845,"A-32"
"a",870,"A-33"
"a",920,"A-35"
"a",975,"A-37"
"a",1000,"A-38"
"a",1075,"A-41"
"a",1100,"A-42"
"a",1175,"A-45"
"a",1200,"A-46"
"a",1225,"A-47"
"a",1280,"A-49"
"a",1305,"A-50"
"a",1330,"A-51"
"a",1380,"A-53"
"a",1405,"A-54"
"a",1430,"A-55"
"a",1480,"A-57"
"a",1555,"A-60"
"a",1610,"A-62"
"a",1660,"A-64"
"a",1710,"A-66"
"a",1760,"A-68"
"a",1785,"A-69"
"a",1835,"A-71"
"a",1940,"A-75"
"a",2065,"A-80"
"a",2190,"A-85"
"a",2320,"A-90"
"a",2470,"A-96"
"a",2700,"A-105"
"a",2880,"A-112"
"a",3080,"A-120"
"a",3285,"A-128"
"a",3485,"A-136"
"a",3690,"A-144"
"a",4045,"A-158"
"a",4150,"A-162"
"a",4425,"A-173"
"a",4605,"A-180"
