"gr_low","gr_high","rpm","power_a"
1,1.02,100,0
1,1.02,200,0
1,1.02,300,0
1,1.02,400,0
1,1.02,435,0
1,1.02,485,0
1,1.02,500,0
1,1.02,575,0
1,1.02,600,0
1,1.02,690,0
1,1.02,700,0
1,1.02,725,0
1,1.02,800,0
1,1.02,870,0
1,1.02,900,0
1,1.02,950,0
1,1.02,1000,0
1,1.02,1100,0
1,1.02,1160,0
1,1.02,1200,0
1,1.02,1300,0
1,1.02,1400,0
1,1.02,1425,0
1,1.02,1500,0
1,1.02,1600,0
1,1.02,1700,0
1,1.02,1750,0
1,1.02,1800,0
1,1.02,1900,0
1,1.02,2000,0
1,1.02,2100,0
1,1.02,2200,0
1,1.02,2300,0
1,1.02,2400,0
1,1.02,2500,0
1,1.02,2580,0
1,1.02,2600,0
1,1.02,2700,0
1,1.02,2800,0
1,1.02,2900,0
1,1.02,3000,0
1,1.02,3100,0
1,1.02,3200,0
1,1.02,3300,0
1,1.02,3400,0
1,1.02,3450,0
1,1.02,3500,0
1,1.02,3600,0
1,1.02,3700,0
1.02,1.06,100,0.01
1.02,1.06,200,0.02
1.02,1.06,300,0.03
1.02,1.06,400,0.04
1.02,1.06,435,0.04
1.02,1.06,485,0.05
1.02,1.06,500,0.05
1.02,1.06,575,0.06
1.02,1.06,600,0.06
1.02,1.06,690,0.07
1.02,1.06,700,0.07
1.02,1.06,725,0.07
1.02,1.06,800,0.08
1.02,1.06,870,0.08
1.02,1.06,900,0.09
1.02,1.06,950,0.09
1.02,1.06,1000,0.1
1.02,1.06,1100,0.11
1.02,1.06,1160,0.11
1.02,1.06,1200,0.12
1.02,1.06,1300,0.13
1.02,1.06,1400,0.14
1.02,1.06,1425,0.14
1.02,1.06,1500,0.15
1.02,1.06,1600,0.16
1.02,1.06,1700,0.17
1.02,1.06,1750,0.17
1.02,1.06,1800,0.18
1.02,1.06,1900,0.19
1.02,1.06,2000,0.2
1.02,1.06,2100,0.2
1.02,1.06,2200,0.21
1.02,1.06,2300,0.22
1.02,1.06,2400,0.23
1.02,1.06,2500,0.24
1.02,1.06,2580,0.28
1.02,1.06,2600,0.25
1.02,1.06,2700,0.26
1.02,1.06,2800,0.27
1.02,1.06,2900,0.28
1.02,1.06,3000,0.29
1.02,1.06,3100,0.3
1.02,1.06,3200,0.31
1.02,1.06,3300,0.32
1.02,1.06,3400,0.33
1.02,1.06,3450,0.34
1.02,1.06,3500,0.34
1.02,1.06,3600,0.35
1.02,1.06,3700,0.36
1.06,1.12,100,0.03
1.06,1.12,200,0.05
1.06,1.12,300,0.08
1.06,1.12,400,0.11
1.06,1.12,435,0.12
1.06,1.12,485,0.13
1.06,1.12,500,0.13
1.06,1.12,575,0.15
1.06,1.12,600,0.16
1.06,1.12,690,0.18
1.06,1.12,700,0.19
1.06,1.12,725,0.19
1.06,1.12,800,0.21
1.06,1.12,870,0.23
1.06,1.12,900,0.24
1.06,1.12,950,0.25
1.06,1.12,1000,0.27
1.06,1.12,1100,0.29
1.06,1.12,1160,0.31
1.06,1.12,1200,0.32
1.06,1.12,1300,0.35
1.06,1.12,1400,0.37
1.06,1.12,1425,0.38
1.06,1.12,1500,0.4
1.06,1.12,1600,0.43
1.06,1.12,1700,0.45
1.06,1.12,1750,0.47
1.06,1.12,1800,0.48
1.06,1.12,1900,0.51
1.06,1.12,2000,53
1.06,1.12,2100,0.56
1.06,1.12,2200,0.58
1.06,1.12,2300,0.61
1.06,1.12,2400,0.64
1.06,1.12,2500,0.66
1.06,1.12,2580,0.76
1.06,1.12,2600,0.69
1.06,1.12,2700,0.72
1.06,1.12,2800,0.74
1.06,1.12,2900,0.77
1.06,1.12,3000,0.8
1.06,1.12,3100,0.82
1.06,1.12,3200,0.85
1.06,1.12,3300,0.88
1.06,1.12,3400,0.9
1.06,1.12,3450,0.92
1.06,1.12,3500,0.93
1.06,1.12,3600,0.96
1.06,1.12,3700,0.98
1.12,1.19,100,0.05
1.12,1.19,200,0.09
1.12,1.19,300,0.14
1.12,1.19,400,0.19
1.12,1.19,435,0.2
1.12,1.19,485,0.22
1.12,1.19,500,0.23
1.12,1.19,575,0.27
1.12,1.19,600,0.28
1.12,1.19,690,0.32
1.12,1.19,700,0.32
1.12,1.19,725,0.34
1.12,1.19,800,0.37
1.12,1.19,870,0.4
1.12,1.19,900,0.42
1.12,1.19,950,0.44
1.12,1.19,1000,0.46
1.12,1.19,1100,0.51
