"diameter","rpm","power_b"
180,100,1.37
180,200,2.54
180,300,3.63
180,400,4.67
180,435,5.03
180,485,5.52
180,500,5.67
180,575,6.4
180,600,6.64
180,690,7.48
180,700,7.57
180,725,7.8
180,800,8.47
180,870,9.09
180,900,9.35
180,950,9.78
180,1000,10.2
180,1100,11
180,1160,11.5
180,1200,11.8
180,1300,12.6
180,1400,13.3
180,1425,13.5
180,1500,14.1
180,1600,14.7
180,1700,15.4
180,1750,15.7
180,1800,16
180,1900,16.6
180,2000,17.2
180,2100,17.7
180,2200,18.2
180,2300,18.7
180,2400,19.2
180,2500,19.6
180,2580,20.7
180,2600,19.9
180,2700,20.3
180,2800,20.5
180,2900,20.8
180,3000,21
180,3100,21.2
180,3200,21.3
180,3300,21.4
180,3400,21.4
180,3450,21.4
180,3500,21.4
180,3600,21.4
180,3700,21.3
190,100,1.5
190,200,2.78
190,300,3.99
190,400,5.13
190,435,5.52
190,485,6.07
190,500,6.24
190,575,7.04
190,600,7.3
190,690,8.23
190,700,8.34
190,725,8.59
190,800,9.34
190,870,10
190,900,10.3
190,950,10.8
190,1000,11.2
190,1100,12.2
190,1160,12.7
190,1200,13
190,1300,13.9
190,1400,14.7
190,1425,14.9
190,1500,15.5
190,1600,16.3
190,1700,17
190,1750,17.3
190,1800,17.7
190,1900,18.3
190,2000,19
190,2100,19.5
190,2200,20.1
190,2300,20.6
190,2400,21.1
190,2500,21.5
190,2580,22.7
190,2600,21.9
190,2700,22.2
190,2800,22.5
190,2900,22.8
190,3000,23
190,3100,23.2
190,3200,23.3
190,3300,23.3
190,3400,23.4
190,3450,23.3
190,3500,23.3
200,100,1.62
200,200,3.02
200,300,4.34
200,400,5.59
200,435,6.02
200,485,6.62
200,500,6.8
200,575,7.68
200,600,7.97
200,690,8.98
200,700,9.1
200,725,9.37
200,800,10.2
200,870,10.9
200,900,11.3
200,950,11.8
200,1000,12.3
200,1100,13.3
200,1160,13.9
200,1200,14.2
200,1300,15.2
200,1400,16.1
200,1425,16.3
200,1500,16.9
200,1600,17.8
200,1700,18.5
200,1750,18.9
200,1800,19.3
200,1900,20
200,2000,20.7
200,2100,21.3
200,2200,21.9
200,2300,22.4
200,2400,22.9
200,2500,23.4
200,2580,24.6
200,2600,23.8
200,2700,24.1
200,2800,24.4
200,2900,24.7
200,3000,24.9
200,3100,25
200,3200,25.1
200,3300,25.1
210,100,1.75
210,200,3.26
210,300,4.69
210,400,6.05
210,435,6.51
210,485,7.16
210,500,7.36
210,575,8.31
210,600,8.62
210,690,9.73
210,700,9.85
210,725,10.2
210,800,11
210,870,11.9
210,900,12.2
210,950,12.8
210,1000,13.3
210,1100,14.4
210,1160,15
210,1200,15.4
210,1300,16.4
210,1400,17.4
210,1425,17.6
210,1500,18.3
210,1600,19.2
210,1700,20.1
210,1750,20.5
210,1800,20.9
210,1900,21.6
210,2000,22.4
210,2100,23
210,2200,23.6
210,2300,24.2
210,2400,24.7
210,2500,25.2
210,2580,26.4
210,2600,25.6
210,2700,25.9
210,2800,26.2
210,2900,26.5
210,3000,26.6
210,3100,26.7
220,100,1.87
220,200,3.5
220,300,5.03
220,400,6.5
220,435,7
220,485,7.7
220,500,7.91
220,575,8.94
220,600,9.28
220,690,10.5
220,700,10.6
220,725,10.9
220,800,11.9
220,870,12.8
220,900,13.1
220,950,13.7
220,1000,14.3
220,1100,15.5
220,1160,16.2
220,1200,16.6
220,1300,17.7
220,1400,18.7
220,1425,19
220,1500,19.7
220,1600,20.7
220,1700,21.6
220,1750,22
220,1800,22.4
220,1900,23.2
220,2000,24
220,2100,24.7
220,2200,25.3
220,2300,25.9
220,2400,26.4
220,2500,26.9
220,2580,28
220,2600,27.3
220,2700,27.6
220,2800,27.9
220,2900,28.1
220,3000,28.2
230,100,2
230,200,3.74
230,300,5.38
230,400,6.95
230,435,7.49
230,485,8.24
230,500,8.47
230,575,9.57
230,600,9.93
230,690,11.2
230,700,11.4
230,725,11.7
230,800,12.7
230,870,13.7
230,900,14.1
230,950,14.7
230,1000,15.3
230,1100,16.6
230,1160,17.3
230,1200,17.8
230,1300,18.9
230,1400,20
230,1425,20.3
230,1500,21.1
230,1600,22.1
230,1700,23.1
230,1750,23.5
230,1800,24
230,1900,24.8
230,2000,25.6
230,2100,26.3
230,2200,27
230,2300,27.6
230,2400,28.1
230,2500,28.5
230,2580,29.6
230,2600,28.9
230,2700,29.2
230,2800,29.5
230,2900,29.6
240,100,2.12
240,200,3.98
240,300,5.73
240,400,7.4
240,435,7.98
240,485,8.78
240,500,9.02
240,575,10.2
240,600,10.6
240,690,11.9
240,700,12.1
240,725,12.5
240,800,13.6
240,870,14.6
240,900,15
240,950,15.7
240,1000,16.3
240,1100,17.7
240,1160,18.4
240,1200,18.9
240,1300,20.2
240,1400,21.3
240,1425,21.6
240,1500,22.4
240,1600,23.5
240,1700,24.5
240,1750,25
240,1800,25.4
240,1900,26.3
240,2000,27.1
240,2100,27.9
240,2200,28.5
240,2300,29.1
240,2400,29.6
240,2500,30.1
240,2600,30.5
240,2700,30.7
250,100,2.25
250,200,4.22
250,300,6.07
250,400,7.85
250,435,8.46
250,485,9.32
250,500,9.57
250,575,10.8
250,600,11.2
250,690,12.7
250,700,12.8
250,725,13.2
250,800,14.4
250,870,15.4
250,900,15.9
250,950,16.6
250,1000,17.3
250,1100,18.7
250,1160,19.6
250,1200,20.1
250,1300,21.4
250,1400,22.6
250,1425,22.9
250,1500,23.8
250,1600,24.9
250,1700,25.9
250,1750,26.4
250,1800,26.9
250,1900,27.8
250,2000,28.6
250,2100,29.4
250,2200,30
250,2300,30.6
250,2400,31.1
250,2500,31.6
250,2600,31.9
265,100,2.43
265,200,4.57
265,300,6.59
265,400,8.52
265,435,9.18
265,485,10.1
265,500,10.4
265,575,11.7
265,600,12.2
265,690,13.8
265,700,13.9
265,725,14.4
265,800,15.6
265,870,16.8
265,900,17.2
265,950,18
265,1000,18.8
265,1100,20.3
265,1160,21.2
265,1200,21.8
265,1300,23.2
265,1400,24.5
265,1425,24.8
265,1500,25.7
265,1600,26.9
265,1700,28
265,1750,28.5
265,1800,29
265,1900,29.9
265,2000,30.8
265,2100,31.5
265,2200,32.2
265,2300,32.7
265,2400,33.2
265,2500,33.6
280,100,2.62
280,200,4.92
280,300,7.1
280,400,9.19
280,435,9.9
280,485,10.9
280,500,11.2
280,575,12.7
280,600,13.1
280,690,14.8
280,700,15
280,725,15.5
280,800,16.8
280,870,18.1
280,900,18.6
280,950,19.4
280,1000,20.3
280,1100,21.9
280,1160,22.8
280,1200,23.4
280,1300,24.9
280,1400,26.3
280,1425,26.6
280,1500,27.6
280,1600,28.8
280,1700,30
280,1750,30.5
280,1800,31
280,1900,31.9
280,2000,32.8
280,2100,33.5
280,2200,34.2
280,2300,34.7
295,100,2.8
295,200,5.28
295,300,7.61
295,400,9.85
295,435,10.6
295,485,11.7
295,500,12
295,575,13.6
295,600,14.1
295,690,15.9
295,700,16.1
295,725,16.6
295,800,18
295,870,19.4
295,900,19.9
295,950,20.8
295,1000,21.7
295,1100,23.4
295,1160,24.4
295,1200,25.1
295,1300,26.6
295,1400,28.1
295,1425,28.4
295,1500,29.4
295,1600,30.7
295,1700,31.9
295,1750,32.4
295,1800,32.9
295,1900,33.9
295,2000,34.7
295,2100,35.4
295,2200,36
310,100,2.99
310,200,5.63
310,300,8.12
310,400,10.5
310,435,11.3
310,485,12.5
310,500,12.8
310,575,14.5
310,600,15
310,690,17
310,700,17.2
310,725,17.7
310,800,19.2
310,870,20.6
310,900,21.2
310,950,22.2
310,1000,23.1
310,1100,24.9
310,1160,26
310,1200,26.6
310,1300,28.3
310,1400,29.8
310,1425,30.1
310,1500,31.2
310,1600,32.5
310,1700,33.7
310,1750,34.2
310,1800,34.7
310,1900,35.7
310,2000,36.5
310,2100,37.1
325,100,3.17
325,200,5.97
325,300,8.63
325,400,11.2
325,435,12
325,485,13.3
325,500,13.6
325,575,15.4
325,600,16
325,690,18
325,700,18.2
325,725,18.8
325,800,20.4
325,870,21.9
325,900,22.5
325,950,23.5
325,1000,24.5
325,1100,26.4
325,1160,27.5
325,1200,28.2
325,1300,29.9
325,1400,31.5
325,1425,31.8
325,1500,32.9
325,1600,34.2
325,1700,35.4
325,1750,36
325,1800,36.5
325,1900,37.4
325,2000,38.1
340,100,3.35
340,200,6.32
340,300,9.13
340,400,11.8
340,435,12.7
340,485,14
340,500,14.4
340,575,16.3
340,600,16.9
340,690,19.1
340,700,19.3
340,725,19.9
340,800,21.6
340,870,23.1
340,900,23.8
340,950,24.9
340,1000,25.9
340,1100,27.9
340,1160,29
340,1200,29.7
340,1300,31.5
340,1400,33.1
340,1425,33.5
