"type","fcc"
"3V250","0.83"
"3V265","0.84"
"3V280","0.85"
"3V300","0.86"
"3V315","0.87"
"3V335","0.88"
"3V355","0.89"
"3V375","0.9"
"3V400","0.92"
"3V425","0.93"
"3V450","0.94"
"3V475","0.95"
"3V500","0.96"
"3V530","0.97"
"3V560","0.98"
"3V600","0.99"
"3V630","1"
"3V670","1.01"
"3V710","1.02"
"3V750","1.03"
"3V800","1.04"
"3V850","1.06"
"3V900","1.07"
"3V950","1.08"
"3V1000","1.09"
"3V1060","1.1"
"3V1120","1.11"
"3V1180","1.12"
"3V1250","1.13"
"3V1320","1.14"
"3V1400","1.15"
"5V500","0.85"
"5V530","0.86"
"5V560","0.87"
"5V600","0.88"
"5V630","0.89"
"5V670","0.9"
"5V710","0.91"
"5V750","0.92"
"5V800","0.93"
"5V850","0.94"
"5V900","0.95"
"5V950","0.96"
"5V1000","0.96"
"5V1060","0.97"
"5V1120","0.98"
"5V1180","0.99"
"5V1250","1"
"5V1320","1.01"
"5V1400","1.02"
"5V1500","1.03"
"5V1600","1.04"
"5V1700","1.05"
"5V1800","1.06"
"5V1900","1.07"
"5V2000","1.08"
"5V2120","1.09"
"5V2240","1.09"
"5V2360","1.1"
"5V2500","1.11"
"5V2650","1.12"
"5V2800","1.13"
"5V3000","1.14"
"5V3150","1.15"
"5V3350","1.16"
"5V3550","1.17"
"8V1000","0.87"
"8V1060","0.88"
"8V1120","0.88"
"8V1180","0.89"
"8V1250","0.9"
"8V1320","0.91"
"8V1400","0.92"
"8V1500","0.93"
"8V1600","0.94"
"8V1700","0.94"
"8V1800","0.95"
"8V1900","0.96"
"8V2000","0.97"
"8V2120","0.98"
"8V2240","0.98"
"8V2360","0.99"
"8V2500","1"
"8V2650","1.01"
"8V2800","1.02"
"8V3000","1.03"
"8V3150","1.03"
"8V3350","1.04"
"8V3550","1.05"
"8V3750","1.06"
"8V4000","1.07"
"8V4250","1.08"
"8V4500","1.09"
"8V4750","1.09"
"8V5000","1.10"
"8V5600","1.12"
