"diameter","rpm","power_b"
65,200,0.19
65,400,0.32
65,600,0.42
65,800,0.5
65,950,0.55
65,1000,0.57
65,1160,0.61
65,1200,0.62
65,1400,0.67
65,1425,0.67
65,1600,0.71
65,1750,0.73
65,1800,0.74
65,2000,0.76
65,2200,0.77
65,2400,0.71
65,2400,0.78
65,2600,0.78
65,2800,0.77
65,2850,0.77
65,3000,0.76
65,3200,0.74
65,3450,0.7
65,3600,0.68
65,3800,0.63
65,4000,0.58
65,4200,0.53
65,4400,0.47
65,4600,0.39
65,4800,0.32
65,5000,0.23
65,5200,0.14
65,5400,0.03
70,200,0.24
70,400,0.41
70,600,0.54
70,800,0.66
70,950,0.74
70,1000,0.76
70,1160,0.84
70,1200,0.85
70,1400,0.93
70,1425,0.94
70,1600,1
70,1750,1.05
70,1800,1.06
70,2000,1.12
70,2200,1.16
70,2400,1.2
70,2400,1.25
70,2600,1.22
70,2800,1.24
70,2850,1.25
70,3000,1.25
70,3200,1.26
70,3450,1.25
70,3600,1.24
70,3800,1.22
70,4000,1.19
70,4200,1.15
70,4400,1.1
70,4600,1.05
70,4800,0.98
70,5000,0.91
70,5200,0.82
70,5400,0.73
70,5600,0.63
70,5800,0.51
70,6000,0.39
70,6200,0.25
70,6400,0.11
75,200,0.29
75,400,0.49
75,600,0.67
75,800,0.82
75,950,0.92
75,1000,0.96
75,1160,1.06
75,1200,1.08
75,1400,1.19
75,1425,1.21
75,1600,1.3
75,1750,1.37
75,1800,1.39
75,2000,1.47
75,2200,1.54
75,2400,1.61
75,2600,1.66
75,2800,1.7
75,2850,1.71
75,3000,1.74
75,3200,1.77
75,3400,1.78
75,3450,1.79
75,3600,1.79
75,3800,1.79
75,4000,1.77
75,4200,1.75
75,4400,1.72
75,4600,1.67
75,4800,1.62
75,5000,1.55
75,5200,1.48
75,5400,1.39
75,5600,1.29
75,5800,1.17
75,6000,1.05
75,6200,0.91
75,6400,0.76
75,6600,0.59
75,6800,0.41
80,200,0.33
80,400,0.58
80,600,0.79
80,800,0.98
80,950,1.11
80,1000,1.15
80,1160,1.28
80,1200,1.31
80,1400,1.45
80,1425,1.47
80,1600,1.59
80,1750,1.68
80,1800,1.71
80,2000,1.82
80,2200,1.92
80,2400,2.01
80,2600,2.09
80,2800,2.16
80,2850,2.17
80,3000,2.22
80,3200,2.26
80,3400,2.3
80,3450,2.31
80,3600,2.33
80,3800,2.34
80,4000,2.34
80,4200,2.33
80,4400,2.31
80,4600,2.28
80,4800,2.23
80,5000,2.17
80,5200,2.1
80,5400,2.01
80,5600,1.91
80,5800,1.79
80,6000,1.66
80,6200,1.51
80,6400,1.65
80,6600,1.17
80,6800,0.98
85,200,0.38
85,400,0.66
85,600,0.91
85,800,1.14
85,950,1.29
85,1000,1.34
85,1160,1.5
85,1200,1.53
85,1400,1.71
85,1425,1.73
85,1600,1.87
85,1750,1.99
85,1800,2.03
85,2000,2.16
85,2200,2.29
85,2400,2.41
85,2600,2.51
85,2800,2.6
85,2850,2.62
85,3000,2.68
85,3200,2.75
85,3400,2.81
85,3450,2.82
85,3600,2.85
85,3800,2.88
85,4000,2.89
85,4200,2.89
85,4400,2.88
85,4600,2.85
85,4800,2.81
85,5000,2.75
85,5200,2.68
85,5400,2.59
85,5600,2.48
85,5800,2.36
85,6000,2.22
85,6200,2.06
85,6400,1.88
85,6600,1.68
85,6800,1.46
90,200,0.42
90,400,0.74
90,600,1.03
90,800,1.29
90,950,1.47
90,1000,1.53
90,1160,1.71
90,1200,1.76
90,1400,1.96
90,1425,1.99
90,1600,2.16
90,1750,2.3
90,1800,2.34
90,2000,2.51
90,2200,2.66
90,2400,2.8
90,2600,2.93
90,2800,3.04
90,2850,2.07
90,3000,3.14
90,3200,3.23
90,3400,3.3
90,3450,3.31
90,3600,3.35
90,3800,3.4
90,4000,3.42
90,4200,3.43
90,4400,3.43
90,4600,3.4
90,4800,3.36
90,5000,3.3
90,5200,3.22
90,5400,3.13
90,5600,3.01
90,5800,2.87
90,6000,2.72
90,6200,2.54
90,6400,2.34
95,200,0.47
95,400,0.83
95,600,1.15
95,800,1.45
95,950,1.65
95,1000,1.72
95,1160,1.93
95,1200,1.98
95,1400,2.22
95,1425,2.25
95,1600,2.44
95,1750,2.6
95,1800,2.65
95,2000,2.84
95,2200,3.02
95,2400,3.19
95,2600,3.34
95,2800,3.47
95,2850,3.5
95,3000,3.57
95,3200,3.69
95,3400,3.78
95,3450,3.8
95,3600,3.85
95,3800,3.9
95,4000,3.93
95,4200,3.95
95,4400,3.94
95,4600,3.92
95,4800,3.88
95,5000,3.81
95,5200,3.73
95,5400,3.62
95,5600,3.49
95,5800,3.34
95,6000,3.16
95,6200,2.96
100,200,0.51
100,400,0.91
100,600,1.27
100,800,1.6
100,950,1.83
100,1000,1.91
100,1160,2.14
100,1200,2.2
100,1400,2.47
100,1425,2.5
100,1600,2.72
100,1750,2.9
100,1800,2.96
100,2000,3.18
100,2200,3.38
100,2400,3.57
100,2600,3.74
100,2800,3.89
100,2850,3.93
100,3000,4.03
100,3200,4.14
100,3400,4.24
100,3450,4.26
100,3600,4.32
100,3800,4.38
100,4000,4.42
100,4200,4.44
100,4400,4.44
100,4600,4.41
100,4800,4.36
100,5000,4.29
100,5200,4.19
100,5400,4.07
100,5600,3.92
100,5800,3.74
105,200,0.55
105,400,0.99
105,600,1.39
105,800,1.75
105,950,2.01
105,1000,2.1
105,1160,2.35
105,1200,2.42
105,1400,2.72
105,1425,2.75
105,1600,3
105,1750,3.2
105,1800,3.26
105,2000,3.51
105,2200,3.73
105,2400,3.94
105,2600,4.13
105,2800,4.3
105,2850,4.34
105,3000,4.45
105,3200,4.59
105,3400,4.69
105,3450,4.72
105,3600,4.78
105,3800,4.85
105,4000,4.89
105,4200,4.91
105,4400,4.9
105,4600,4.87
105,4800,4.81
105,5000,4.73
105,5200,4.61
105,5400,4.47
105,5600,4.3
110,200,0.6
110,400,1.08
110,600,1.51
110,800,1.91
110,950,2.19
110,1000,2.28
110,1160,2.56
110,1200,2.63
110,1400,2.96
110,1425,3
110,1600,3.27
110,1750,3.49
110,1800,3.56
110,2000,3.83
110,2200,4.08
110,2400,4.31
110,2600,4.52
110,2800,4.71
110,2850,4.75
110,3000,4.87
110,3200,5.01
110,3400,5.13
110,3450,5.16
110,3600,5.23
110,3800,5.3
110,4000,5.34
110,4200,5.35
110,4400,5.34
110,4600,5.3
110,4800,5.23
110,5000,5.12
110,5200,4.99
110,5400,4.82
115,200,0.64
115,400,1.16
115,600,1.63
115,800,2.06
115,950,2.37
115,1000,2.46
115,1160,2.77
115,1200,2.85
115,1400,3.21
115,1425,3.25
115,1600,3.54
115,1750,3.78
115,1800,3.86
115,2000,4.15
115,2200,4.42
115,2400,4.67
115,2600,4.9
115,2800,5.1
115,2850,5.15
115,3000,5.28
115,3200,5.43
115,3400,5.56
115,3450,5.58
115,3600,5.65
115,3800,5.72
115,4000,5.76
115,4200,5.77
115,4400,5.75
115,4600,5.69
115,4800,5.6
115,5000,5.48
120,200,0.68
120,400,1.24
120,600,1.74
120,800,2.21
120,950,2.54
120,1000,2.65
120,1160,2.98
120,1200,3.06
120,1400,3.45
120,1425,3.49
120,1600,3.81
120,1750,4.07
120,1800,4.15
120,2000,4.47
120,2200,4.76
120,2400,5.03
120,2600,5.27
120,2800,5.49
120,2850,5.54
120,3000,5.67
120,3200,5.83
120,3400,5.96
120,3450,5.99
120,3600,6.06
120,3800,6.13
120,4000,6.16
120,4200,6.16
120,4400,6.13
120,4600,6.05
120,4800,5.94
125,200,0.73
125,400,1.32
125,600,1.86
125,800,2.36
125,950,2.71
125,1000,283
125,1160,3.19
125,1200,3.27
125,1400,3.69
125,1425,3.74
125,1600,4.08
125,1750,4.35
125,1800,4.44
125,2000,4.78
125,2200,5.09
125,2400,5.38
125,2600,5.63
125,2800,5.86
125,2850,5.91
125,3000,6.06
125,3200,6.22
125,3400,6.36
125,3450,6.38
125,3600,6.45
125,3800,6.52
125,4000,6.54
125,4200,6.53
125,4400,6.47
125,4600,6.38
140,200,0.86
140,400,1.56
140,600,2.2
140,800,2.8
140,950,3.23
140,1000,3.37
140,1160,3.79
140,1200,3.9
140,1400,4.39
140,1425,4.45
140,1600,4.86
140,1750,5.19
140,1800,5.29
140,2000,5.69
140,2200,6.06
140,2400,6.39
140,2600,6.68
140,2800,6.93
140,2850,6.99
140,3000,7.14
140,3200,7.31
140,3400,7.44
140,3450,7.46
140,3600,7.51
140,3800,7.54
140,4000,7.52
140,4200,7.45
150,200,0.94
150,400,1.72
150,600,2.43
150,800,3.1
150,950,3.57
150,1000,3.72
150,1160,4.19
150,1200,4.31
150,1400,4.86
150,1425,4.92
150,1600,5.37
150,1750,5.73
150,1800,5.84
150,2000,6.28
150,2200,6.67
150,2400,7.03
150,2600,7.33
150,2800,7.59
150,2850,7.65
150,3000,7.81
150,3200,7.97
150,3400,8.07
150,3450,8.09
150,3600,8.12
150,3800,8.11
150,4000,8.04
165,200,1.07
165,400,1.96
165,600,2.77
165,800,3.53
165,950,4.07
165,1000,4.24
165,1160,4.78
165,1200,4.91
165,1400,5.53
165,1425,5.61
165,1600,6.11
165,1750,6.51
165,1800,6.64
165,2000,7.12
165,2200,7.55
165,2400,7.93
165,2600,8.25
165,2800,8.51
165,2850,8.56
165,3000,8.7
165,3200,8.83
165,3400,8.89
165,3450,8.89
165,3600,8.87
180,200,1.19
180,400,2.19
180,600,3.11
180,800,3.96
180,950,4.56
180,1000,4.76
180,1160,5.36
180,1200,5.5
180,1400,6.19
180,1425,6.28
180,1600,6.83
180,1750,7.27
180,1800,7.41
180,2000,7.93
180,2200,8.38
180,2400,8.77
180,2600,9.08
180,2800,9.32
180,2850,9.36
180,3000,9.47
180,3200,9.55
190,200,1.28
190,400,2.35
190,600,3.33
190,800,4.24
190,950,4.89
190,1000,5.1
190,1160,5.74
190,1200,5.89
190,1400,6.62
190,1425,6.71
190,1600,7.29
190,1750,7.76
190,1800,7.9
190,2000,8.44
190,2200,8.9
190,2400,9.28
190,2600,9.58
190,2800,9.8
190,2850,9.83
190,3000,9.92
190,3200,9.94
