"gr_low","gr_high","rpm","power_a"
1,1.02,100,0
1,1.02,200,0
1,1.02,300,0
1,1.02,400,0
1,1.02,500,0
1,1.02,575,0
1,1.02,600,0
1,1.02,690,0
1,1.02,700,0
1,1.02,725,0
1,1.02,800,0
1,1.02,870,0
1,1.02,900,0
1,1.02,950,0
1,1.02,1000,0
1,1.02,1100,0
1,1.02,1160,0
1,1.02,1200,0
1,1.02,1300,0
1,1.02,1400,0
1,1.02,1425,0
1,1.02,1500,0
1,1.02,1600,0
1,1.02,1700,0
1,1.02,1750,0
1,1.02,1800,0
1,1.02,1900,0
1,1.02,2000,0
1,1.02,2100,0
1,1.02,2200,0
1,1.02,2300,0
1,1.02,2400,0
1,1.02,2500,0
1,1.02,2600,0
1,1.02,2700,0
1,1.02,2800,0
1,1.02,2900,0
1,1.02,3000,0
1,1.02,3100,0
1,1.02,3200,0
1,1.02,3300,0
1.02,1.04,100,0.01
1.02,1.04,200,0.02
1.02,1.04,300,0.04
1.02,1.04,400,0.05
1.02,1.04,500,0.06
1.02,1.04,575,0.07
1.02,1.04,600,0.07
1.02,1.04,690,0.09
1.02,1.04,700,0.09
1.02,1.04,725,0.09
1.02,1.04,800,0.1
1.02,1.04,870,0.11
1.02,1.04,900,0.11
1.02,1.04,950,0.12
1.02,1.04,1000,0.12
1.02,1.04,1100,0.14
1.02,1.04,1160,0.14
1.02,1.04,1200,0.15
1.02,1.04,1300,0.16
1.02,1.04,1400,0.17
1.02,1.04,1425,0.18
1.02,1.04,1500,0.19
1.02,1.04,1600,0.2
1.02,1.04,1700,0.21
1.02,1.04,1750,0.22
1.02,1.04,1800,0.22
1.02,1.04,1900,0.24
1.02,1.04,2000,0.25
1.02,1.04,2100,0.26
1.02,1.04,2200,0.27
1.02,1.04,2300,0.29
1.02,1.04,2400,0.3
1.02,1.04,2500,0.31
1.02,1.04,2600,0.32
1.02,1.04,2700,0.34
1.02,1.04,2800,0.35
1.02,1.04,2900,0.36
1.02,1.04,3000,0.37
1.02,1.04,3100,0.39
1.02,1.04,3200,0.4
1.02,1.04,3300,0.41
1.04,1.06,100,0.02
1.04,1.06,200,0.05
1.04,1.06,300,0.07
1.04,1.06,400,0.1
1.04,1.06,500,0.12
1.04,1.06,575,0.14
1.04,1.06,600,0.15
1.04,1.06,690,0.17
1.04,1.06,700,0.17
1.04,1.06,725,0.18
1.04,1.06,800,0.2
1.04,1.06,870,0.22
1.04,1.06,900,0.22
1.04,1.06,950,0.24
1.04,1.06,1000,0.25
1.04,1.06,1100,0.27
1.04,1.06,1160,0.29
1.04,1.06,1200,0.3
1.04,1.06,1300,0.32
1.04,1.06,1400,0.35
1.04,1.06,1425,0.35
1.04,1.06,1500,0.37
1.04,1.06,1600,0.4
1.04,1.06,1700,0.42
1.04,1.06,1750,0.43
1.04,1.06,1800,0.45
1.04,1.06,1900,0.47
1.04,1.06,2000,0.5
1.04,1.06,2100,0.52
1.04,1.06,2200,0.55
1.04,1.06,2300,0.57
1.04,1.06,2400,0.6
1.04,1.06,2500,0.62
1.04,1.06,2600,0.64
1.04,1.06,2700,0.67
1.04,1.06,2800,0.69
1.04,1.06,2900,0.72
1.04,1.06,3000,0.74
1.04,1.06,3100,0.77
1.04,1.06,3200,0.79
1.04,1.06,3300,0.82
1.06,1.09,100,0.04
1.06,1.09,200,0.07
1.06,1.09,300,0.11
1.06,1.09,400,0.15
1.06,1.09,500,0.19
1.06,1.09,575,0.21
1.06,1.09,600,0.22
1.06,1.09,690,0.26
1.06,1.09,700,0.26
1.06,1.09,725,0.27
1.06,1.09,800,0.3
1.06,1.09,870,0.32
1.06,1.09,900,0.33
1.06,1.09,950,0.35
1.06,1.09,1000,0.37
1.06,1.09,1100,0.41
1.06,1.09,1160,0.43
1.06,1.09,1200,0.45
1.06,1.09,1300,0.48
1.06,1.09,1400,0.52
1.06,1.09,1425,0.53
1.06,1.09,1500,0.56
1.06,1.09,1600,0.6
1.06,1.09,1700,0.63
1.06,1.09,1750,0.65
1.06,1.09,1800,0.67
1.06,1.09,1900,0.71
1.06,1.09,2000,0.74
1.06,1.09,2100,0.78
1.06,1.09,2200,0.82
1.06,1.09,2300,0.86
1.06,1.09,2400,0.89
1.06,1.09,2500,0.93
1.06,1.09,2600,0.97
1.06,1.09,2700,1
1.06,1.09,2800,1.04
1.06,1.09,2900,1.08
1.06,1.09,3000,1.12
1.06,1.09,3100,1.15
