"diameter","rpm","power_a"
65,200,0.19
65,400,0.32
65,600,0.42
65,800,0.5
65,950,0.55
65,1000,0.57
65,1160,0.61
65,1200,0.62
65,1400,0.67
65,1425,0.67
65,1600,0.71
65,1750,0.73
65,1800,0.74
65,2000,0.76
65,2200,0.77
65,2400,0.71
65,2400,0.78
65,2600,0.78
65,2800,0.77
65,2850,0.77
65,3000,0.76
65,3200,0.74
65,3450,0.7
65,3600,0.68
65,3800,0.63
65,4000,0.58
65,4200,0.53
65,4400,0.47
65,4600,0.39
65,4800,0.32
65,5000,0.23
65,5200,0.14
65,5400,0.03
70,200,0.24
70,400,0.41
70,600,0.54
70,800,0.66
70,950,0.74
70,1000,0.76
70,1160,0.84
70,1200,0.85
70,1400,0.93
70,1425,0.94
70,1600,1
70,1750,1.05
70,1800,1.06
70,2000,1.12
70,2200,1.16
70,2400,1.2
70,2400,1.25
70,2600,1.22
70,2800,1.24
70,2850,1.25
70,3000,1.25
70,3200,1.6
70,3450,1.25
70,3600,1.24
70,3800,1.22
70,4000,1.19
70,4200,1.15
70,4400,1.1
70,4600,1.05
70,4800,0.98
70,5000,0.91
70,5200,0.82
70,5400,0.73
70,5600,0.63
70,5800,0.51
70,6000,0.39
70,6200,0.25
70,6400,0.11
