"gr_low","gr_high","rpm","power_a"
1,1.02,50,0
1,1.02,100,0
1,1.02,150,0
1,1.02,200,0
1,1.02,250,0
1,1.02,300,0
1,1.02,350,0
1,1.02,400,0
1,1.02,435,0
1,1.02,450,0
1,1.02,485,0
1,1.02,500,0
1,1.02,550,0
1,1.02,575,0
1,1.02,600,0
1,1.02,650,0
1,1.02,690,0
1,1.02,700,0
1,1.02,725,0
1,1.02,750,0
1,1.02,800,0
1,1.02,850,0
1,1.02,870,0
1,1.02,900,0
1,1.02,950,0
1,1.02,950,0
1,1.02,1000,0
1,1.02,1050,0
1,1.02,1100,0
1,1.02,1150,0
1,1.02,1160,0
1,1.02,1200,0
1,1.02,1250,0
1,1.02,1300,0
1,1.02,1350,0
1,1.02,1400,0
1,1.02,1425,0
1,1.02,1450,0
1,1.02,1500,0
1,1.02,1550,0
1,1.02,1600,0
1,1.02,1650,0
1,1.02,1700,0
1,1.02,1750,0
1,1.02,1750,0
1,1.02,1800,0
1,1.02,1850,0
1,1.02,1900,0
1,1.02,1950,0
1,1.02,2000,0
1.02,1.06,50,0.02
1.02,1.06,100,0.05
1.02,1.06,150,0.07
1.02,1.06,200,0.1
1.02,1.06,250,0.12
1.02,1.06,300,0.14
1.02,1.06,350,0.17
1.02,1.06,400,0.19
1.02,1.06,435,0.21
1.02,1.06,450,0.21
1.02,1.06,485,0.23
1.02,1.06,500,0.24
1.02,1.06,550,0.26
1.02,1.06,575,0.27
1.02,1.06,600,0.29
1.02,1.06,650,0.31
1.02,1.06,690,0.33
1.02,1.06,700,0.33
1.02,1.06,725,0.34
1.02,1.06,750,0.36
1.02,1.06,800,0.38
1.02,1.06,850,0.4
1.02,1.06,870,0.41
1.02,1.06,900,0.43
1.02,1.06,950,0.45
1.02,1.06,950,0.45
1.02,1.06,1000,0.48
1.02,1.06,1050,0.5
1.02,1.06,1100,0.52
1.02,1.06,1150,0.55
1.02,1.06,1160,0.55
1.02,1.06,1200,0.57
1.02,1.06,1250,0.59
1.02,1.06,1300,0.62
1.02,1.06,1350,0.64
1.02,1.06,1400,0.67
1.02,1.06,1425,0.68
1.02,1.06,1450,0.69
1.02,1.06,1500,0.71
1.02,1.06,1550,0.74
1.02,1.06,1600,0.76
1.02,1.06,1650,0.78
1.02,1.06,1700,0.81
1.02,1.06,1750,0.83
1.02,1.06,1750,0.83
1.02,1.06,1800,0.86
1.02,1.06,1850,0.88
1.02,1.06,1900,0.9
1.02,1.06,1950,0.93
1.02,1.06,2000,0.95
1.06,1.12,50,0.06
1.06,1.12,100,0.13
1.06,1.12,150,0.19
1.06,1.12,200,0.26
1.06,1.12,250,0.32
1.06,1.12,300,0.39
1.06,1.12,350,0.45
1.06,1.12,400,0.52
1.06,1.12,435,0.56
1.06,1.12,450,0.58
1.06,1.12,485,0.63
1.06,1.12,500,0.65
1.06,1.12,550,0.71
1.06,1.12,575,0.74
1.06,1.12,600,0.78
1.06,1.12,650,0.84
1.06,1.12,690,0.89
1.06,1.12,700,0.91
1.06,1.12,725,0.94
1.06,1.12,750,0.97
1.06,1.12,800,1.04
1.06,1.12,850,1.1
1.06,1.12,870,1.13
1.06,1.12,900,1.17
1.06,1.12,950,1.23
1.06,1.12,950,1.23
1.06,1.12,1000,1.3
1.06,1.12,1050,1.36
1.06,1.12,1100,1.43
1.06,1.12,1150,1.49
1.06,1.12,1160,1.5
1.06,1.12,1200,1.55
1.06,1.12,1250,1.62
1.06,1.12,1300,1.68
1.06,1.12,1350,1.75
1.06,1.12,1400,1.81
