"diameter","rpm","power_b"
320,50,3.09
320,100,5.74
320,150,8.21
320,200,10.6
320,250,12.8
320,300,15
320,350,17.2
320,400,19.2
320,435,20.6
320,450,21.2
320,485,22.6
320,500,23.2
320,550,25.1
320,575,26
320,600,26.9
320,650,28.7
320,690,30.1
320,700,30.5
320,725,31.3
320,750,32.1
320,800,33.8
320,850,35.3
320,870,35.9
320,900,36.8
320,950,38.3
320,950,38.3
320,1000,39.7
320,1050,41
320,1100,42.3
320,1150,43.5
320,1160,43.7
320,1200,44.6
320,1250,45.7
320,1300,46.7
320,1350,47.6
320,1400,48.5
320,1425,48.9
320,1450,49.2
320,1500,49.9
320,1550,50.6
320,1600,51.1
320,1650,51.5
320,1700,51.9
320,1750,52.2
320,1750,52.2
320,1800,52.4
320,1850,52.5
320,1900,52.5
320,1950,52.4
320,2000,52.2
340,50,3.42
340,100,6.38
340,150,9.15
340,200,11.8
340,250,14.3
340,300,16.8
340,350,19.2
340,400,21.5
340,435,23.1
340,450,23.8
340,485,25.3
340,500,26
340,550,28.1
340,575,29.2
340,600,30.2
340,650,32.2
340,690,33.8
340,700,34.2
340,725,35.1
340,750,36.1
340,800,37.9
340,850,39.7
340,870,40.3
340,900,41.4
340,950,43
340,950,43
340,1000,44.5
340,1050,46
340,1100,47.4
340,1150,48.8
340,1160,49
340,1200,50
340,1250,51.2
340,1300,52.3
340,1350,53.3
340,1400,54.2
340,1425,54.7
340,1450,55.1
340,1500,55.8
340,1550,56.5
340,1600,57
340,1650,57.5
340,1700,57.8
340,1750,58.1
340,1750,58.1
340,1800,58.2
340,1850,58.2
340,1900,58.2
340,1950,58
360,50,3.76
360,100,7.01
360,150,10.1
360,200,13
360,250,15.8
360,300,18.6
360,350,21.2
360,400,23.8
360,435,25.6
360,450,26.3
360,485,28
360,500,28.8
360,550,31.1
360,575,32.3
360,600,33.5
360,650,35.7
360,690,37.4
360,700,37.9
360,725,38.9
360,750,40
360,800,42
360,850,43.9
360,870,44.7
360,900,45.8
360,950,47.6
360,950,47.6
360,1000,49.3
360,1050,50.9
360,1100,52.5
360,1150,53.9
360,1160,54.2
360,1200,55.3
360,1250,56.5
360,1300,57.7
360,1350,58.8
360,1400,59.8
360,1425,60.2
360,1450,60.6
360,1500,61.4
360,1550,62
360,1600,62.6
360,1650,63
360,1700,63.3
360,1750,63.5
360,1750,63.5
360,1800,63.5
360,1850,63.4
380,50,4.09
380,100,7.65
380,150,11
380,200,14.2
380,250,17.3
380,300,20.3
380,350,23.2
380,400,26.1
380,435,28
380,450,28.8
380,485,30.7
380,500,31.5
380,550,34.1
380,575,35.4
380,600,36.7
380,650,39.1
380,690,41
380,700,41.5
380,725,42.6
380,750,43.8
380,800,46
380,850,48.1
380,870,48.9
380,900,50.1
380,950,52.1
380,950,52.1
380,1000,53.9
380,1050,55.7
380,1100,57.3
380,1150,58.9
380,1160,59.2
380,1200,60.3
380,1250,61.7
380,1300,62.9
380,1350,64
380,1400,65
380,1425,65.5
380,1450,65.9
380,1500,66.6
380,1550,67.2
380,1600,67.7
380,1650,68.1
380,1700,68.3
380,1750,68.4
380,1750,68.4
400,50,4.42
400,100,8.28
400,150,11.9
400,200,15.4
400,250,18.8
400,300,22.1
400,350,25.2
400,400,28.3
400,435,30.5
400,450,31.3
400,485,33.4
400,500,34.3
400,550,37.1
400,575,38.5
400,600,39.8
400,650,42.5
400,690,44.6
400,700,45.1
400,725,46.3
400,750,47.6
400,800,49.9
400,850,52.2
400,870,53.1
400,900,54.4
400,950,56.5
400,950,56.5
400,1000,58.5
400,1050,60.3
400,1100,62.1
400,1150,63.7
400,1160,64
400,1200,65.2
400,1250,66.6
400,1300,67.9
400,1350,69
400,1400,70
400,1425,70.4
400,1450,70.9
400,1500,71.6
400,1550,72.1
400,1600,72.5
400,1650,72.8
420,50,4.75
420,100,8.91
420,150,12.8
420,200,16.6
420,250,20.3
420,300,23.8
420,350,27.2
420,400,30.6
420,435,32.9
420,450,33.8
420,485,36
420,500,37
420,550,40
420,575,41.5
420,600,43
420,650,45.9
420,690,48.1
420,700,48.6
420,725,50
420,750,51.3
420,800,53.8
420,850,56.3
420,870,57.2
420,900,58.6
420,950,60.8
420,950,50.8
420,1000,62.9
420,1050,64.9
420,1100,66.7
420,1150,68.4
420,1160,68.7
420,1200,69.9
420,1250,71.4
420,1300,72.6
420,1350,73.8
420,1400,74.7
420,1425,75.1
420,1450,75.5
420,1500,76.1
420,1550,76.6
440,50,5.08
440,100,9.54
440,150,13.8
440,200,17.8
440,250,21.7
440,300,25.5
440,350,29.2
440,400,32.8
440,435,35.3
440,450,36.3
440,485,38.7
440,500,39.7
440,550,42.9
440,575,44.5
440,600,46.1
440,650,49.2
440,690,51.5
440,700,52.1
440,725,53.5
440,750,54.9
440,800,57.6
440,850,60.2
440,870,61.2
440,900,62.7
440,950,65
440,950,65
440,1000,67.2
440,1050,69.2
440,1100,71.1
440,1150,72.9
440,1160,73.2
440,1200,74.5
440,1250,75.9
440,1300,77.1
440,1350,78.2
440,1400,79.1
440,1425,79.5
440,1450,79.8
440,1500,80.4
460,50,5.41
460,100,10.2
460,150,14.7
460,200,19
460,250,23.2
460,300,27.3
460,350,31.2
460,400,35
460,435,37.6
460,450,38.7
460,485,41.3
460,500,42.3
460,550,45.8
460,575,47.5
460,600,49.2
460,650,52.4
460,690,54.9
460,700,55.6
460,725,57.1
460,750,58.5
460,800,61.4
460,850,64.1
460,870,65.2
460,900,66.7
460,950,69.1
460,950,69.1
460,1000,71.4
460,1050,73.5
460,1100,75.4
460,1150,77.2
460,1160,77.5
460,1200,78.8
460,1250,80.2
460,1300,81.4
460,1350,82.4
460,1400,83.2
460,1425,83.6
460,1450,83.8
480,50,5.73
480,100,10.8
480,150,15.6
480,200,20.2
480,250,24.6
480,300,29
480,350,33.2
480,400,37.2
480,435,40
480,450,41.2
480,485,43.8
480,500,45
480,550,48.7
480,575,50.5
480,600,52.2
480,650,55.7
480,690,58.3
480,700,58.9
480,725,60.5
480,750,62.1
480,800,65.1
480,850,67.9
480,870,69
480,900,70.6
480,950,73.1
480,950,73.1
480,1000,75.4
480,1050,77.6
480,1100,79.6
480,1150,81.3
480,1160,81.7
480,1200,82.9
