"gr_low","gr_high","rpm","power_a"
1,1.02,200,0
1,1.02,400,0
1,1.02,600,0
1,1.02,725,0
1,1.02,800,0
1,1.02,870,0
1,1.02,950,0
1,1.02,1000,0
1,1.02,1160,0
1,1.02,1200,0
1,1.02,1400,0
1,1.02,1425,0
1,1.02,1600,0
1,1.02,1750,0
1,1.02,1800,0
1,1.02,2000,0
1,1.02,2200,0
1,1.02,2400,0
1,1.02,2600,0
1,1.02,2800,0
1,1.02,2850,0
1,1.02,3000,0
1,1.02,3200,0
1,1.02,3400,0
1,1.02,3450,0
1,1.02,3600,0
1,1.02,3800,0
1,1.02,4000,0
1,1.02,4200,0
1,1.02,4400,0
1,1.02,4600,0
1,1.02,4800,0
1.02,1.04,200,0.01
1.02,1.04,400,0.02
1.02,1.04,600,0.03
1.02,1.04,725,0.04
1.02,1.04,800,0.04
1.02,1.04,870,0.04
1.02,1.04,950,0.05
1.02,1.04,1000,0.05
1.02,1.04,1160,0.06
1.02,1.04,1200,0.06
1.02,1.04,1400,0.07
1.02,1.04,1425,0.07
1.02,1.04,1600,0.08
1.02,1.04,1750,0.09
1.02,1.04,1800,0.09
1.02,1.04,2000,0.1
1.02,1.04,2200,0.11
1.02,1.04,2400,0.12
1.02,1.04,2600,0.13
1.02,1.04,2800,0.14
1.02,1.04,2850,0.14
1.02,1.04,3000,0.15
1.02,1.04,3200,0.16
1.02,1.04,3400,0.17
1.02,1.04,3450,0.17
1.02,1.04,3600,0.18
1.02,1.04,3800,0.19
1.02,1.04,4000,0.2
1.02,1.04,4200,0.21
1.02,1.04,4400,0.22
1.02,1.04,4600,0.23
1.02,1.04,4800,0.24
1.04,1.06,200,0.02
1.04,1.06,400,0.04
1.04,1.06,600,0.06
1.04,1.06,725,0.07
1.04,1.06,800,0.08
1.04,1.06,870,0.09
1.04,1.06,950,0.09
1.04,1.06,1000,0.1
1.04,1.06,1160,0.11
1.04,1.06,1200,0.12
1.04,1.06,1400,0.14
1.04,1.06,1425,0.14
1.04,1.06,1600,0.16
1.04,1.06,1750,0.17
1.04,1.06,1800,0.18
1.04,1.06,2000,0.2
1.04,1.06,2200,0.22
1.04,1.06,2400,0.24
1.04,1.06,2600,0.26
1.04,1.06,2800,0.28
1.04,1.06,2850,0.28
1.04,1.06,3000,0.3
1.04,1.06,3200,0.32
1.04,1.06,3400,0.34
1.04,1.06,3450,0.34
1.04,1.06,3600,0.36
1.04,1.06,3800,0.37
1.04,1.06,4000,0.39
1.04,1.06,4200,0.41
1.04,1.06,4400,0.43
1.04,1.06,4600,0.45
1.04,1.06,4800,0.47
1.06,1.09,200,0.03
1.06,1.09,400,0.06
1.06,1.09,600,0.09
1.06,1.09,725,0.11
1.06,1.09,800,0.12
1.06,1.09,870,0.13
1.06,1.09,950,0.14
1.06,1.09,1000,0.15
1.06,1.09,1160,0.17
1.06,1.09,1200,0.18
1.06,1.09,1400,0.21
1.06,1.09,1425,0.21
1.06,1.09,1600,0.24
1.06,1.09,1750,0.26
1.06,1.09,1800,0.27
1.06,1.09,2000,0.3
1.06,1.09,2200,0.33
1.06,1.09,2400,0.35
1.06,1.09,2600,0.38
1.06,1.09,2800,0.41
1.06,1.09,2850,0.42
1.06,1.09,3000,0.44
1.06,1.09,3200,0.47
1.06,1.09,3400,0.5
1.06,1.09,3450,0.51
1.06,1.09,3600,0.53
1.06,1.09,3800,0.56
1.06,1.09,4000,0.59
1.06,1.09,4200,0.62
1.06,1.09,4400,0.65
1.06,1.09,4600,0.68
1.06,1.09,4800,0.71
1.09,1.13,200,0.04
1.09,1.13,400,0.08
1.09,1.13,600,0.12
1.09,1.13,725,0.14
1.09,1.13,800,0.16
1.09,1.13,870,0.17
1.09,1.13,950,0.19
1.09,1.13,1000,0.2
1.09,1.13,1160,0.23
1.09,1.13,1200,0.24
1.09,1.13,1400,0.28
1.09,1.13,1425,0.28
1.09,1.13,1600,0.32
1.09,1.13,1750,0.35
1.09,1.13,1800,0.35
1.09,1.13,2000,0.39
1.09,1.13,2200,0.43
1.09,1.13,2400,0.47
1.09,1.13,2600,0.51
1.09,1.13,2800,0.55
1.09,1.13,2850,0.56
1.09,1.13,3000,0.59
1.09,1.13,3200,0.63
1.09,1.13,3400,0.67
1.09,1.13,3450,0.68
1.09,1.13,3600,0.71
1.09,1.13,3800,0.75
1.09,1.13,4000,0.79
1.09,1.13,4200,0.83
1.09,1.13,4400,0.87
1.09,1.13,4600,0.91
1.09,1.13,4800,0.95
1.13,1.17,200,0.05
1.13,1.17,400,0.1
1.13,1.17,600,0.15
1.13,1.17,725,0.18
1.13,1.17,800,0.2
1.13,1.17,870,0.21
1.13,1.17,950,0.23
1.13,1.17,1000,0.25
1.13,1.17,1160,0.29
1.13,1.17,1200,0.3
1.13,1.17,1400,0.35
1.13,1.17,1425,0.35
1.13,1.17,1600,0.39
1.13,1.17,1750,0.43
1.13,1.17,1800,0.44
1.13,1.17,2000,0.49
1.13,1.17,2200,0.54
1.13,1.17,2400,0.59
1.13,1.17,2600,0.64
1.13,1.17,2800,0.69
1.13,1.17,2850,0.7
1.13,1.17,3000,0.74
1.13,1.17,3000,0.79
1.13,1.17,3400,0.84
