"gr_low","gr_high","rpm","power_a"
1,1.02,100,0
1,1.02,200,0
1,1.02,300,0
1,1.02,400,0
1,1.02,500,0
1,1.02,575,0
1,1.02,600,0
1,1.02,690,0
1,1.02,700,0
1,1.02,725,0
1,1.02,800,0
1,1.02,870,0
1,1.02,900,0
1,1.02,950,0
1,1.02,1000,0
1,1.02,1100,0
1,1.02,1160,0
1,1.02,1200,0
1,1.02,1300,0
1,1.02,1400,0
1,1.02,1425,0
1,1.02,1500,0
1,1.02,1600,0
1,1.02,1700,0
1,1.02,1750,0
1,1.02,1800,0
1,1.02,1900,0
1,1.02,2000,0
1,1.02,2100,0
1,1.02,2200,0
1,1.02,2300,0
1,1.02,2400,0
1,1.02,2500,0
1,1.02,2600,0
1,1.02,2700,0
1,1.02,2800,0
1,1.02,2850,0
1,1.02,2900,0
1,1.02,3000,0
1,1.02,3100,0
1,1.02,3200,0
1,1.02,3300,0
1,1.02,3400,0
1,1.02,3450,0
1,1.02,3500,0
1,1.02,3600,0
1,1.02,3700,0
1,1.02,3800,0
1,1.02,3900,0
1,1.02,4000,0
1,1.02,4100,0
1,1.02,4200,0
1,1.02,4300,0
1,1.02,4400,0
1,1.02,4500,0
1,1.02,4600,0
1,1.02,4700,0
1,1.02,4800,0
1,1.02,4900,0
1,1.02,5000,0
1.02,1.06,100,0
1.02,1.06,200,0
1.02,1.06,300,0.01
1.02,1.06,400,0.01
1.02,1.06,500,0.01
1.02,1.06,575,0.01
1.02,1.06,600,0.01
1.02,1.06,690,0.01
1.02,1.06,700,0.01
1.02,1.06,725,0.01
1.02,1.06,800,0.01
1.02,1.06,870,0.02
1.02,1.06,900,0.02
1.02,1.06,950,0.02
1.02,1.06,1000,0.02
1.02,1.06,1100,0.02
1.02,1.06,1160,0.02
1.02,1.06,1200,0.02
1.02,1.06,1300,0.02
1.02,1.06,1400,0.03
1.02,1.06,1425,0.03
1.02,1.06,1500,0.03
1.02,1.06,1600,0.03
1.02,1.06,1700,0.03
1.02,1.06,1750,0.03
1.02,1.06,1800,0.03
1.02,1.06,1900,0.03
1.02,1.06,2000,0.04
1.02,1.06,2100,0.04
1.02,1.06,2200,0.04
1.02,1.06,2300,0.04
1.02,1.06,2400,0.04
1.02,1.06,2500,0.05
1.02,1.06,2600,0.05
1.02,1.06,2700,0.05
1.02,1.06,2800,0.05
1.02,1.06,2850,0.05
1.02,1.06,2900,0.05
1.02,1.06,3000,0.06
1.02,1.06,3100,0.06
1.02,1.06,3200,0.06
1.02,1.06,3300,0.06
1.02,1.06,3400,0.06
1.02,1.06,3450,0.06
1.02,1.06,3500,0.06
1.02,1.06,3600,0.07
1.02,1.06,3700,0.07
1.02,1.06,3800,0.07
1.02,1.06,3900,0.07
1.02,1.06,4000,0.07
1.02,1.06,4100,0.08
1.02,1.06,4200,0.08
1.02,1.06,4300,0.08
1.02,1.06,4400,0.08
1.02,1.06,4500,0.08
1.02,1.06,4600,0.08
1.02,1.06,4700,0.09
1.02,1.06,4800,0.09
1.02,1.06,4900,0.09
1.02,1.06,5000,0.09
1.06,1.12,100,0.01
1.06,1.12,200,0.01
1.06,1.12,300,0.02
1.06,1.12,400,0.02
1.06,1.12,500,0.03
1.06,1.12,575,0.03
1.06,1.12,600,0.03
1.06,1.12,690,0.03
1.06,1.12,700,0.04
1.06,1.12,725,0.04
1.06,1.12,800,0.04
1.06,1.12,870,0.04
1.06,1.12,900,0.05
1.06,1.12,950,0.05
1.06,1.12,1000,0.05
1.06,1.12,1100,0.06
1.06,1.12,1160,0.06
1.06,1.12,1200,0.06
1.06,1.12,1300,0.07
1.06,1.12,1400,0.07
1.06,1.12,1425,0.07
1.06,1.12,1500,0.08
1.06,1.12,1600,0.08
1.06,1.12,1700,0.09
1.06,1.12,1750,0.09
1.06,1.12,1800,0.09
1.06,1.12,1900,0.1
1.06,1.12,2000,0.1
1.06,1.12,2100,0.11
1.06,1.12,2200,0.11
1.06,1.12,2300,0.12
1.06,1.12,2400,0.12
1.06,1.12,2500,0.13
1.06,1.12,2600,0.13
1.06,1.12,2700,0.14
1.06,1.12,2800,0.14
1.06,1.12,2850,0.14
1.06,1.12,2900,0.15
1.06,1.12,3000,0.15
1.06,1.12,3100,0.16
1.06,1.12,3200,0.16
1.06,1.12,3300,0.17
1.06,1.12,3400,0.17
1.06,1.12,3450,0.17
1.06,1.12,3500,0.18
1.06,1.12,3600,0.18
