"rpm_low","rpm_high","engine_power","diam"
575,690,0.5,2.5
575,690,0.75,3
575,690,1,3
575,690,1.5,3
575,690,2,3.8
575,690,3,4.5
575,690,5,4.5
575,690,7.5,5.2
575,690,10,6
575,690,15,6.8
575,690,20,8.2
575,690,25,9
575,690,30,10
575,690,40,10
575,690,50,11
575,690,60,12
575,690,75,14
575,690,100,18
575,690,125,20
575,690,150,22
575,690,200,22
575,690,250,22
575,690,300,27
690,870,0.5,2.5
690,870,0.75,2.5
690,870,1,3
690,870,1.5,3
690,870,2,3
690,870,3,3.8
690,870,5,4.5
690,870,7.5,4.5
690,870,10,5.2
690,870,15,6
690,870,20,6.8
690,870,25,8.2
690,870,30,9
690,870,40,10
690,870,50,10
690,870,60,11
690,870,75,13
690,870,100,15
690,870,125,18
690,870,150,20
690,870,200,22
690,870,250,22
690,870,300,27
870,1160,0.5,2.2
870,1160,0.75,2.4
870,1160,1,2.4
870,1160,1.5,2.4
870,1160,2,3
870,1160,3,3
870,1160,5,3.8
870,1160,7.5,4.4
870,1160,10,4.6
870,1160,15,5.4
870,1160,20,6
870,1160,25,6.8
870,1160,30,6.8
870,1160,40,8.2
870,1160,50,9
870,1160,60,10
870,1160,75,10.5
870,1160,100,12.5
870,1160,125,15
870,1160,150,18
870,1160,200,22
870,1160,250,0
870,1160,300,0
1160,1750,0.5,0
1160,1750,0.75,2.2
1160,1750,1,2.4
1160,1750,1.5,2.4
1160,1750,2,2.4
1160,1750,3,3
1160,1750,5,3
1160,1750,7.5,3.8
1160,1750,10,4.4
1160,1750,15,4.6
1160,1750,20,5.4
1160,1750,25,6
1160,1750,30,6.8
1160,1750,40,6.8
1160,1750,50,8.2
1160,1750,60,9
1160,1750,75,10
1160,1750,100,11
1160,1750,125,12.5
1160,1750,150,13
1160,1750,200,0
1160,1750,250,0
1160,1750,300,0
1750,3450,0.5,0
1750,3450,0.75,0
1750,3450,1,2.2
1750,3450,1.5,2.4
1750,3450,2,2.4
1750,3450,3,2.4
1750,3450,5,3
1750,3450,7.5,3
1750,3450,10,3.8
1750,3450,15,4.4
1750,3450,20,4.6
1750,3450,25,5
1750,3450,30,5.4
1750,3450,40,6
1750,3450,50,6.8
1750,3450,60,7.4
1750,3450,75,9
1750,3450,100,10
1750,3450,125,11.5
1750,3450,150,0
1750,3450,200,0
1750,3450,250,0
1750,3450,300,0
3450,3500,0.5,0
3450,3500,0.75,0
3450,3500,1,2.2
3450,3500,1.5,2.4
3450,3500,2,2.4
3450,3500,3,2.6
3450,3500,5,3
3450,3500,7.5,3
3450,3500,10,3.8
3450,3500,15,4.4
3450,3500,20,4.4
3450,3500,25,0
3450,3500,30,0
3450,3500,40,0
3450,3500,50,0
3450,3500,60,0
3450,3500,75,0
3450,3500,100,0
3450,3500,125,0
3450,3500,150,0
3450,3500,200,0
3450,3500,250,0
3450,3500,300,0
